IF fruiting-bodies = {present} AND fruit-spots = {dna} THEN class = {diaporthe-stem-canker} (p=18, n=0, P=18, N=596)
IF lodging = {yes} AND fruiting-bodies = {absent} AND seed-tmt = {none} AND temp = {norm} AND seed = {norm} AND leaf-shread = {absent} AND stem-cankers = {absent} AND leafspots-halo = {no-yellow-halos} AND roots = {norm} THEN class = {phyllosticta-leaf-spot} (p=7, n=29, P=18, N=596)
IF date = {october} AND leafspot-size = {gt-1/8} AND plant-growth = {norm} AND mold-growth = {absent} AND stem-cankers = {absent} THEN class = {alternarialeaf-spot} (p=26, n=1, P=82, N=532)
IF date = {september} AND leafspot-size = {gt-1/8} AND temp = {gt-norm} AND stem = {norm} THEN class = {alternarialeaf-spot} (p=26, n=0, P=82, N=532)
IF date = {september} AND leafspot-size = {gt-1/8} AND fruiting-bodies = {absent} AND precip = {gt-norm} AND seed = {norm} AND stem-cankers = {absent} THEN class = {alternarialeaf-spot} (p=34, n=4, P=82, N=532)
IF leafspot-size = {gt-1/8} AND seed = {abnorm} AND leaf-mild = {absent} AND stem = {norm} THEN class = {alternarialeaf-spot} (p=10, n=0, P=82, N=532)
IF date = {august} AND severity = {pot-severe} AND seed-tmt = {none} AND plant-stand = {normal} AND stem-cankers = {absent} AND leafspots-marg = {w-s-marg} THEN class = {alternarialeaf-spot} (p=6, n=1, P=82, N=532)
IF precip = {gt-norm} AND canker-lesion = {dna} AND plant-growth = {norm} AND leaf-shread = {absent} AND mold-growth = {absent} AND hail = {yes} THEN class = {alternarialeaf-spot} (p=59, n=21, P=82, N=532)
IF fruit-spots = {colored} AND external-decay = {firm-and-dry} THEN class = {frog-eye-leaf-spot} (p=54, n=0, P=82, N=532)
IF plant-growth = {norm} AND leaf-shread = {absent} AND stem-cankers = {above-sec-nde} AND leafspots-marg = {w-s-marg} THEN class = {frog-eye-leaf-spot} (p=59, n=17, P=82, N=532)
IF date = {august} AND severity = {minor} AND leafspot-size = {gt-1/8} AND plant-stand = {normal} THEN class = {frog-eye-leaf-spot} (p=5, n=0, P=82, N=532)
IF date = {august} AND leaf-malf = {absent} AND seed = {norm} AND leaf-shread = {absent} AND leafspots-marg = {w-s-marg} THEN class = {frog-eye-leaf-spot} (p=29, n=17, P=82, N=532)
IF leaf-malf = {absent} AND precip = {gt-norm} AND seed = {norm} AND leaf-shread = {absent} THEN class = {frog-eye-leaf-spot} (p=72, n=160, P=82, N=532)
IF canker-lesion = {dna} AND shriveling = {present} THEN class = {diaporthe-pod-&-stem-blight} (p=13, n=0, P=13, N=601)
IF fruit-pods = {few-present} THEN class = {cyst-nematode} (p=13, n=0, P=13, N=601)
IF leaf-malf = {present} AND leafspots-marg = {dna} THEN class = {2-4-d-injury} (p=14, n=4, P=14, N=600)
IF leaf-malf = {present} AND fruit-pods = {dna} THEN class = {herbicide-injury} (p=7, n=0, P=7, N=607)
